Wells,id
A01,AE3003P
A02,AE3004P
A03,AE3010P
A04,AE3011P
A05,AE3353P
A06,AE3354P
A07,AE3360P
A08,AE3367P
A09,AE3376P
A10,AE3460P
A11,AE3463P
A12,AE3470P
B01,AE3473P
B02,AE3474P
B03,AE3478P
B04,AE3482P
B05,AE3492P
B06,AE3496P
B07,AE3507P
B08,AE3524P
B09,AE3525P
B10,AE3536P
B11,AE3540P
B12,AE3025P
C01,AE3026P
C02,AE3033P
C03,AE3034P
C04,AE3035P
C05,AE3036P
C06,AE3037P
C07,AE3038P
C08,AE3039P
C09,AE3040P
C10,AE3041P
C11,AE3042P
C12,AE3043P
D01,AE3044P
D02,AE3045P
D03,AE3046P
D04,AE3047P
D05,AE3048P
D06,AE3049P
D07,AE3050P
D08,AE3051P
D09,AE3052P
D10,AE3053P
D11,AE3054P
D12,AE3058P
E01,AE3062P
E02,AE3063P
E03,AE3064P
E04,AE3072P
E05,AE3073P
E06,AE3074P
E07,AE3106P
E08,AE3119P
E09,AE3135P
E10,AE3136P
E11,AE3137P
E12,AE3138P
F01,AE3140P
F02,AE3143P
F03,AE3144P
F04,AE3145P
F05,AE3146P
F06,AE3149P
F07,AE3151P
F08,AE3152P
F09,AE3153P
F10,AE3154P
F11,AE3155P
F12,AE3156P
G01,AE3157P
G02,AE3160P
G03,AE3161P
G04,AE3162P
G05,AE3169P
G06,AE3170P
G07,AE3171P
G08,AE3172P
G09,AE3173P
G10,AE3174P
G11,AE3195P
G12,AE3179P
H01,AE3201P
H02,AE3227P
H03,AE3233P
H04,AE3236P
H05,AE3182P
H06,AE3245P
H07,AE3246P
H08,AE3247P
H09,AE3248P
H10,AE3249P
H11,AE3250P
H12,AE3251P
